timestamp,p_in_sp,q_in_sp,q_in_up,q_in_dn,q_in_63,q_in_90,p_actual_hv,q_actual_hv
0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,-0.008
0.105,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.008
0.218,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.008
0.325,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.008
0.43,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.008
0.538,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.008
0.645,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.008
0.752,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.009
0.864,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.01
0.969,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.012
1.071,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.012
1.177,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.014
1.278,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.017
1.379,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.018
1.479,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.019
1.58,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.02
1.68,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.021
1.782,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.023
1.892,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.024
1.996,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.025
2.103,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.027
2.212,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.028
2.315,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.028
2.427,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.031
2.53,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.032
2.638,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.033
2.746,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.033
2.848,0.75,-0.247,-0.259,-0.234,-0.153,-0.222,0.75,-0.035
